"Folkeuni-F5118;GEOLOGI - Vulkanisme, pladetektonik og masseuddÃ¸en",SCI-Folkeuniversitetet,%23SPLUSEB3F92
4841-F17;Ã…U LIT Ã†ldre litteraturhistorie 2 - EuropÃ¦isk litteratur fra MoliÃ¨re til Kierkegaard - forÃ¥r,4841 - Institut for Kunst og Kulturvidenskab,61919
4841-F17;Ã…U LIT Tilvalgsemne B - Vestens selvmord ifÃ¸lge Houellebecq - forÃ¥r,4841 - Institut for Kunst og Kulturvidenskab,61920
4841-F17;Ã…U KUN Dansk kunst 1890-1990 - forÃ¥r,4841 - Institut for Kunst og Kulturvidenskab,61929
4841-F17;Ã…U KUN Kunsten som terapeutisk rum - forÃ¥r,4841 - Institut for Kunst og Kulturvidenskab,61930
"4841-F17;Ã…U KUN Udstilling, idÃ© og materialisering - forÃ¥r",4841 - Institut for Kunst og Kulturvidenskab,61931
3915-B1-2E16;VeterinÃ¦rt erhvervsprojekt (15 point),3915 - BSc + MSc VeterinÃ¦r Medicin,61932
4721-F17;Ã…U DAN Sprog 2 - forÃ¥r,4721 - Institut for Nordiske Studier og Sprogvidenskab,61933
4721-F17;Ã…U DAN Medieanalyse 2 - forÃ¥r,4721 - Institut for Nordiske Studier og Sprogvidenskab,61934
3915-B1-1E16;VeterinÃ¦rt erhvervsprojekt (15 point),3915 - BSc + MSc VeterinÃ¦r Medicin,61935
4721-F17;Ã…U DAN Litteraturhistorie - forÃ¥r,4721 - Institut for Nordiske Studier og Sprogvidenskab,61936
4721-F17;Ã…U DAN Sprog 4 - forÃ¥r,4721 - Institut for Nordiske Studier og Sprogvidenskab,61937
4761-F17;FM Specialeseminar,"4761 - Institut for Medier, Erkendelse og Formidling",61938
4761-F17;FM How to write a thesis,"4761 - Institut for Medier, Erkendelse og Formidling",61939
4761-F17;MEF TvÃ¦rfagligt specialeseminar,"4761 - Institut for Medier, Erkendelse og Formidling",61940
4761-F17;FM TvÃ¦rmedial kommunikation,"4761 - Institut for Medier, Erkendelse og Formidling",61941
4761-F17;FM TvÃ¦rmedial produktion og formidling,"4761 - Institut for Medier, Erkendelse og Formidling",61942
4761-F17;FM Kreative medieindustrier,"4761 - Institut for Medier, Erkendelse og Formidling",61943
"4761-F17;FM Kreative medieindustrier, produktion og formidling","4761 - Institut for Medier, Erkendelse og Formidling",61944
"4761-F17;FM Journalistik, kultur og samfund","4761 - Institut for Medier, Erkendelse og Formidling",61945
4761-F17;FM Journalistik produktion og formidling,"4761 - Institut for Medier, Erkendelse og Formidling",61946
4721-F17;Ã…U DAV Sprogtilegnelse - forÃ¥r,4721 - Institut for Nordiske Studier og Sprogvidenskab,61947
4761-F17;FM Film and audiovisual aesthetics,"4761 - Institut for Medier, Erkendelse og Formidling",61948
4761-F17;FM Film production and communication,"4761 - Institut for Medier, Erkendelse og Formidling",61949
4761-F17;FM Seminar: Projektorienteret forlÃ¸b - udvidet,"4761 - Institut for Medier, Erkendelse og Formidling",61950
4761-F17;FM Seminar: Projektorienteret forlÃ¸b,"4761 - Institut for Medier, Erkendelse og Formidling",61951
4761-F17;FM Internship,"4761 - Institut for Medier, Erkendelse og Formidling",61952
4761-F17;FM Internship - Extended,"4761 - Institut for Medier, Erkendelse og Formidling",61953
3934-E16;Erhvervsorienteret projekt 10 ECTS,3934 - BSc + MSc Folkesundhedsvidenskab,61954
4721-F17;Ã…U DAV AndetsprogspÃ¦dagogik - forÃ¥r,4721 - Institut for Nordiske Studier og Sprogvidenskab,61955
4721-F17;Ã…U DAV Sprogbeskrivelse - forÃ¥r,4721 - Institut for Nordiske Studier og Sprogvidenskab,61956
4721-F17;Ã…U MAS Sprogbeskrivelse - forÃ¥r,4721 - Institut for Nordiske Studier og Sprogvidenskab,61957
4721-F17;Ã…U MAS Masterprojekt - forÃ¥r,4721 - Institut for Nordiske Studier og Sprogvidenskab,61958
4721-F17;Ã…U MAS AndetsprogspÃ¦dagogik - forÃ¥r,4721 - Institut for Nordiske Studier og Sprogvidenskab,61959
4761-F17;Ã…U FILO Teoretisk filosofi 2 - forÃ¥r,"4761 - Institut for Medier, Erkendelse og Formidling",61960
4761-F17;Ã…U FILO Valgfag 1: VÃ¦rklÃ¦sning - forÃ¥r,"4761 - Institut for Medier, Erkendelse og Formidling",61961
4761-F17;Ã…U FILO Valgfag 3: FÃ¦nomenologi og eksistensfilosofi - forÃ¥r,"4761 - Institut for Medier, Erkendelse og Formidling",61962
4761-F17;Ã…U FILO Argumentationsteori og metode - forÃ¥r,"4761 - Institut for Medier, Erkendelse og Formidling",61963
4761-F17;Ã…U FILO Valgfag 1: Formel Logik - forÃ¥r,"4761 - Institut for Medier, Erkendelse og Formidling",61964
4761-F17;Ã…U FILO Valgfag 1: Anvendt filosofi - forÃ¥r,"4761 - Institut for Medier, Erkendelse og Formidling",61965
4761-F17;Ã…U FM Fiktionsteori og -analyse - forÃ¥r,"4761 - Institut for Medier, Erkendelse og Formidling",61966
4781-E16;KL.GR. GrÃ¦sk 1 - opgraderingsprÃ¸ve,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",58629
6000-E16;VideregÃ¥ende immaterialret - kendetegnsrettigheder,6000 - Det Juridiske Fakultet,61967
3932-B5-5F17;Summer School. Humanitarian Action in the 21st Century: An introduction,3932 - Global Sundhed,69993
3932-B5-5F16;Mass drug administration in low-income countries,3932 - Global Sundhed,61969
3932-B5-5F16;Global Health Challenges,3932 - Global Sundhed,61970
3932-B5-5F16;International Health,3932 - Global Sundhed,61971
3932-B5-5F17;Cross-disciplinary Health Research Field course in Sri Lanka,3932 - Global Sundhed,69995
3932-B5-5F17;Transitions in Urban Living: From Global to Local using the Municipality of Copenhagen as a Case,3932 - Global Sundhed,69992
6000-E16;Corporate Social Responsibility,6000 - Det Juridiske Fakultet,61974
3934-B5-5F17;Alive and KICking - Innovative Solutions to Aging Related Challenges,3934 - BSc + MSc Folkesundhedsvidenskab,67140
3934-B5-5F17;Summer course in Nordic Health Systems,3934 - BSc + MSc Folkesundhedsvidenskab,67142
3934-B5-5F16;Obesity in a Cross-disciplinary Perspective,3934 - BSc + MSc Folkesundhedsvidenskab,61977
3934-B5-5F17;Screening and Epidemiology,3934 - BSc + MSc Folkesundhedsvidenskab,67143
3934-B5-5F17;Kursus i TvÃ¦rfaglige aspekter ved sund aldring - 5 ECTS,3934 - BSc + MSc Folkesundhedsvidenskab,67141
4781-F17;Ã…U KGR GrÃ¦sk 2 - fjernundervisning - forÃ¥r,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",61982
4781-F17;Ã…U KGR GrÃ¦sk 3 - fjernundervisning - forÃ¥r,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",61983
4781-F17;Ã…U LAT Latin 2 - fjernundervisning - forÃ¥r,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",61985
